ApprovedSymbol	ApprovedName
ACOX3	acyl-CoA oxidase 3, pristanoyl
ACOXL	acyl-CoA oxidase like
ACOXL-AS1	ACOXL antisense RNA 1
ACP1	acid phosphatase 1
ACP2	acid phosphatase 2, lysosomal
ACP3	acid phosphatase 3
ACP4	acid phosphatase 4
ACP5	acid phosphatase 5, tartrate resistant
ACP6	acid phosphatase 6, lysophosphatidic
ACP7	acid phosphatase 7, tartrate resistant (putative)
ACR	acrosin
ACRBP	acrosin binding protein
ACRV1	acrosomal vesicle protein 1
ACSBG1	acyl-CoA synthetase bubblegum family member 1
ACSBG2	acyl-CoA synthetase bubblegum family member 2
ACSF2	acyl-CoA synthetase family member 2
ACSF3	acyl-CoA synthetase family member 3
ACSL1	acyl-CoA synthetase long chain family member 1
ACSL3	acyl-CoA synthetase long chain family member 3
ACSL3-AS1	ACSL3 antisense RNA 1
ACSL4	acyl-CoA synthetase long chain family member 4
ACSL5	acyl-CoA synthetase long chain family member 5
ACSL6	acyl-CoA synthetase long chain family member 6
ACSL6-AS1	ACSL6 antisense RNA 1
ACSM1	acyl-CoA synthetase medium chain family member 1
ACSM2A	acyl-CoA synthetase medium chain family member 2A
ACSM2B	acyl-CoA synthetase medium chain family member 2B
ACSM3	acyl-CoA synthetase medium chain family member 3
ACSM4	acyl-CoA synthetase medium chain family member 4
ACSM5	acyl-CoA synthetase medium chain family member 5
ACSM6	acyl-CoA synthetase medium chain family member 6
ACSS1	acyl-CoA synthetase short chain family member 1
ACSS2	acyl-CoA synthetase short chain family member 2
ACSS3	acyl-CoA synthetase short chain family member 3
ACTA1	actin alpha 1, skeletal muscle
ACTA2	actin alpha 2, smooth muscle
ACTA2-AS1	ACTA2 antisense RNA 1
ACTB	actin beta
ACTBL2	actin beta like 2
ACTC1	actin alpha cardiac muscle 1
ACTG1	actin gamma 1
ACTG2	actin gamma 2, smooth muscle
ACTL6A	actin like 6A
ACTL6B	actin like 6B
ACTL7A	actin like 7A
ACTL7B	actin like 7B
ACTL8	actin like 8
ACTL9	actin like 9
ACTL10	actin like 10
ACTN1	actinin alpha 1
ACTN1-DT	ACTN1 divergent transcript
ACTN2	actinin alpha 2
ACTN3	actinin alpha 3
ACTN4	actinin alpha 4
ACTR1A	actin related protein 1A
ACTR1B	actin related protein 1B
ACTR2	actin related protein 2
ACTR3	actin related protein 3
ACTR3-AS1	ACTR3 antisense RNA 1
ACTR3B	actin related protein 3B
ACTR3C	actin related protein 3C
ACTR5	actin related protein 5
ACTR6	actin related protein 6
ACTR8	actin related protein 8
ACTR10	actin related protein 10
ACTRT1	actin related protein T1
ACTRT2	actin related protein T2
ACTRT3	actin related protein T3
ACVR1	activin A receptor type 1
ACVR1B	activin A receptor type 1B
ACVR1C	activin A receptor type 1C
ACVR2A	activin A receptor type 2A
ACVR2B	activin A receptor type 2B
ACVR2B-AS1	ACVR2B antisense RNA 1
ACVRL1	activin A receptor like type 1
ACY1	aminoacylase 1
ACY3	aminoacylase 3
ACYP1	acylphosphatase 1
ACYP2	acylphosphatase 2
ADA	adenosine deaminase
ADA2	adenosine deaminase 2
ADAD1	adenosine deaminase domain containing 1
ADAD2	adenosine deaminase domain containing 2
ADAL	adenosine deaminase like
ADAM2	ADAM metallopeptidase domain 2
ADAM7	ADAM metallopeptidase domain 7
ADAM8	ADAM metallopeptidase domain 8
ADAM9	ADAM metallopeptidase domain 9
ADAM10	ADAM metallopeptidase domain 10
ADAM11	ADAM metallopeptidase domain 11
ADAM12	ADAM metallopeptidase domain 12
ADAM12-OT1	ADAM12 overlapping transcript 1 (non-protein coding)
ADAM15	ADAM metallopeptidase domain 15
ADAM17	ADAM metallopeptidase domain 17
ADAM18	ADAM metallopeptidase domain 18
ADAM19	ADAM metallopeptidase domain 19
ADAM20	ADAM metallopeptidase domain 20
ADAM21	ADAM metallopeptidase domain 21
ADAM22	ADAM metallopeptidase domain 22
ADAM23	ADAM metallopeptidase domain 23
ADAM28	ADAM metallopeptidase domain 28
ADAM29	ADAM metallopeptidase domain 29
ADAM30	ADAM metallopeptidase domain 30
ADAM32	ADAM metallopeptidase domain 32
ADAM33	ADAM metallopeptidase domain 33
ADAMDEC1	ADAM like decysin 1
ADAMTS1	ADAM metallopeptidase with thrombospondin type 1 motif 1
ADAMTS2	ADAM metallopeptidase with thrombospondin type 1 motif 2
ADAMTS3	ADAM metallopeptidase with thrombospondin type 1 motif 3
ADAMTS4	ADAM metallopeptidase with thrombospondin type 1 motif 4
ADAMTS5	ADAM metallopeptidase with thrombospondin type 1 motif 5
ADAMTS6	ADAM metallopeptidase with thrombospondin type 1 motif 6
ADAMTS7	ADAM metallopeptidase with thrombospondin type 1 motif 7
ADAMTS8	ADAM metallopeptidase with thrombospondin type 1 motif 8
ADAMTS9	ADAM metallopeptidase with thrombospondin type 1 motif 9
ADAMTS9-AS1	ADAMTS9 antisense RNA 1
ADAMTS9-AS2	ADAMTS9 antisense RNA 2
ADAMTS10	ADAM metallopeptidase with thrombospondin type 1 motif 10
ADAMTS12	ADAM metallopeptidase with thrombospondin type 1 motif 12
ADAMTS13	ADAM metallopeptidase with thrombospondin type 1 motif 13
ADAMTS14	ADAM metallopeptidase with thrombospondin type 1 motif 14
ADAMTS15	ADAM metallopeptidase with thrombospondin type 1 motif 15
ADAMTS16	ADAM metallopeptidase with thrombospondin type 1 motif 16
ADAMTS16-DT	ADAMTS16 divergent transcript
ADAMTS17	ADAM metallopeptidase with thrombospondin type 1 motif 17
ADAMTS18	ADAM metallopeptidase with thrombospondin type 1 motif 18
ADAMTS19	ADAM metallopeptidase with thrombospondin type 1 motif 19
ADAMTS19-AS1	ADAMTS19 antisense RNA 1
ADAMTS20	ADAM metallopeptidase with thrombospondin type 1 motif 20
ADAMTSL1	ADAMTS like 1
ADAMTSL2	ADAMTS like 2
ADAMTSL3	ADAMTS like 3
ADAMTSL4	ADAMTS like 4
ADAMTSL4-AS1	ADAMTSL4 antisense RNA 1
ADAMTSL4-AS2	ADAMTSL4 antisense RNA 2
ADAMTSL5	ADAMTS like 5
ADAP1	ArfGAP with dual PH domains 1
ADAP2	ArfGAP with dual PH domains 2
ADAR	adenosine deaminase RNA specific
ADARB1	adenosine deaminase RNA specific B1
ADARB2	adenosine deaminase RNA specific B2 (inactive)
ADARB2-AS1	ADARB2 antisense RNA 1
ADAT1	adenosine deaminase tRNA specific 1
ADAT2	adenosine deaminase tRNA specific 2
ADAT3	adenosine deaminase tRNA specific 3
ADCK1	aarF domain containing kinase 1
ADCK2	aarF domain containing kinase 2
ADCK5	aarF domain containing kinase 5
ADCY1	adenylate cyclase 1
ADCY2	adenylate cyclase 2
ADCY3	adenylate cyclase 3
ADCY4	adenylate cyclase 4
ADCY5	adenylate cyclase 5
ADCY6	adenylate cyclase 6
ADCY6-DT	ADCY6 divergent transcript
ADCY7	adenylate cyclase 7
ADCY8	adenylate cyclase 8
ADCY9	adenylate cyclase 9
ADCY10	adenylate cyclase 10
ADCYAP1	adenylate cyclase activating polypeptide 1
ADCYAP1R1	ADCYAP receptor type I
ADD1	adducin 1
ADD2	adducin 2
ADD3	adducin 3
ADD3-AS1	ADD3 antisense RNA 1
ADGB	androglobin
ADGB-DT	ADGB divergent transcript
ADGRA1	adhesion G protein-coupled receptor A1
ADGRA1-AS1	ADGRA1 antisense RNA 1
ADGRA2	adhesion G protein-coupled receptor A2
ADGRA3	adhesion G protein-coupled receptor A3
ADGRB1	adhesion G protein-coupled receptor B1
ADGRB2	adhesion G protein-coupled receptor B2
ADGRB3	adhesion G protein-coupled receptor B3
ADGRB3-DT	ADGRB3 divergent transcript
ADGRD1	adhesion G protein-coupled receptor D1
ADGRD1-AS1	ADGRD1 antisense RNA 1
ADGRD2	adhesion G protein-coupled receptor D2
ADGRE1	adhesion G protein-coupled receptor E1
ADGRE2	adhesion G protein-coupled receptor E2
ADGRE3	adhesion G protein-coupled receptor E3
ADGRE5	adhesion G protein-coupled receptor E5
ADGRF1	adhesion G protein-coupled receptor F1
ADGRF2	adhesion G protein-coupled receptor F2
ADGRF3	adhesion G protein-coupled receptor F3
ADGRF4	adhesion G protein-coupled receptor F4
ADGRF5	adhesion G protein-coupled receptor F5
ADGRF5-AS1	ADGRF5 antisense RNA 1
ADGRG1	adhesion G protein-coupled receptor G1
ADGRG2	adhesion G protein-coupled receptor G2
ADGRG3	adhesion G protein-coupled receptor G3
ADGRG4	adhesion G protein-coupled receptor G4
ADGRG5	adhesion G protein-coupled receptor G5
ADGRG6	adhesion G protein-coupled receptor G6
ADGRG7	adhesion G protein-coupled receptor G7
ADGRL1	adhesion G protein-coupled receptor L1
ADGRL1-AS1	ADGRL1 antisense RNA 1
ADGRL2	adhesion G protein-coupled receptor L2
ADGRL3	adhesion G protein-coupled receptor L3
ADGRL3-AS1	ADGRL3 antisense RNA 1
ADGRL4	adhesion G protein-coupled receptor L4
ADGRV1	adhesion G protein-coupled receptor V1
ADH1A	alcohol dehydrogenase 1A (class I), alpha polypeptide
ADH1B	alcohol dehydrogenase 1B (class I), beta polypeptide
ADH1C	alcohol dehydrogenase 1C (class I), gamma polypeptide
ADH4	alcohol dehydrogenase 4 (class II), pi polypeptide
ADH5	alcohol dehydrogenase 5 (class III), chi polypeptide
ADH6	alcohol dehydrogenase 6 (class V)
ADH7	alcohol dehydrogenase 7 (class IV), mu or sigma polypeptide
ADHFE1	alcohol dehydrogenase iron containing 1
ADI1	acireductone dioxygenase 1
ADIG	adipogenin
ADIPOQ	adiponectin, C1Q and collagen domain containing
ADIPOQ-AS1	ADIPOQ antisense RNA 1
ADIPOR1	adiponectin receptor 1
ADIPOR2	adiponectin receptor 2
ADIRF	adipogenesis regulatory factor
ADIRF-AS1	ADIRF antisense RNA 1
ADK	adenosine kinase
ADM	adrenomedullin
ADM-DT	ADM divergent transcript
ADM2	adrenomedullin 2
ADM5	adrenomedullin 5 (putative)
ADNP	activity dependent neuroprotector homeobox
ADNP-AS1	ADNP antisense RNA 1
ADNP2	ADNP homeobox 2
ADO	2-aminoethanethiol dioxygenase
ADORA1	adenosine A1 receptor
ADORA2A	adenosine A2a receptor
ADORA2A-AS1	ADORA2A antisense RNA 1
ADORA2B	adenosine A2b receptor
ADORA3	adenosine A3 receptor
ADPGK	ADP dependent glucokinase
ADPGK-AS1	ADPGK antisense RNA 1
ADPRH	ADP-ribosylarginine hydrolase
ADPRHL1	ADP-ribosylhydrolase like 1
ADPRM	ADP-ribose/CDP-alcohol diphosphatase, manganese dependent
ADPRS	ADP-ribosylserine hydrolase
ADRA1A	adrenoceptor alpha 1A
ADRA1B	adrenoceptor alpha 1B
ADRA1D	adrenoceptor alpha 1D
ADRA2A	adrenoceptor alpha 2A
ADRA2B	adrenoceptor alpha 2B
ADRA2C	adrenoceptor alpha 2C
ADRB1	adrenoceptor beta 1
ADRB2	adrenoceptor beta 2
ADRB3	adrenoceptor beta 3
ADRM1	ADRM1 26S proteasome ubiquitin receptor
ADSL	adenylosuccinate lyase
ADSS1	adenylosuccinate synthase 1
ADSS2	adenylosuccinate synthase 2
ADTRP	androgen dependent TFPI regulating protein
AEBP1	AE binding protein 1
AEBP2	AE binding protein 2
AEN	apoptosis enhancing nuclease
AFAP1	actin filament associated protein 1
AFAP1-AS1	AFAP1 antisense RNA 1
AFAP1L1	actin filament associated protein 1 like 1
AFAP1L2	actin filament associated protein 1 like 2
AFDN	afadin, adherens junction formation factor
AFDN-DT	AFDN divergent transcript
AFF1	AF4/FMR2 family member 1
AFF1-AS1	AFF1 antisense RNA 1
AFF2	AF4/FMR2 family member 2
AFF2-IT1	AFF2 intronic transcript 1
AFF3	AF4/FMR2 family member 3
AFF4	AF4/FMR2 family member 4
AFF4-DT	AFF4 divergent transcript
AFG1L	AFG1 like ATPase
AFG3L2	AFG3 like matrix AAA peptidase subunit 2
AFM	afamin
AFMID	arylformamidase
AFP	alpha fetoprotein
AFTPH	aftiphilin
AFTPH-DT	AFTPH divergent transcript
AGA	aspartylglucosaminidase
AGA-DT	AGA divergent transcript
AGAP1	ArfGAP with GTPase domain, ankyrin repeat and PH domain 1
AGAP1-IT1	AGAP1 intronic transcript 1
AGAP2	ArfGAP with GTPase domain, ankyrin repeat and PH domain 2
AGAP2-AS1	AGAP2 antisense RNA 1
AGAP3	ArfGAP with GTPase domain, ankyrin repeat and PH domain 3
AGAP4	ArfGAP with GTPase domain, ankyrin repeat and PH domain 4
AGAP5	ArfGAP with GTPase domain, ankyrin repeat and PH domain 5
AGAP6	ArfGAP with GTPase domain, ankyrin repeat and PH domain 6
AGAP9	ArfGAP with GTPase domain, ankyrin repeat and PH domain 9
AGBL1	AGBL carboxypeptidase 1
AGBL1-AS1	AGBL1 antisense RNA 1
AGBL2	AGBL carboxypeptidase 2
AGBL3	AGBL carboxypeptidase 3
AGBL4	AGBL carboxypeptidase 4
AGBL4-AS1	AGBL4 antisense RNA 1
AGBL4-IT1	AGBL4 intronic transcript 1
AGBL5	AGBL carboxypeptidase 5
AGBL5-AS1	AGBL5 antisense RNA 1
AGBL5-IT1	AGBL5 intronic transcript 1
AGER	advanced glycosylation end-product specific receptor
AGFG1	ArfGAP with FG repeats 1
AGFG2	ArfGAP with FG repeats 2
AGGF1	angiogenic factor with G-patch and FHA domains 1
AGK	acylglycerol kinase
AGK-DT	AGK divergent transcript
AGL	amylo-alpha-1, 6-glucosidase, 4-alpha-glucanotransferase
AGMAT	agmatinase
AGMO	alkylglycerol monooxygenase
AGO1	argonaute RISC component 1
AGO2	argonaute RISC catalytic component 2
AGO3	argonaute RISC catalytic component 3
AGO4	argonaute RISC component 4
AGPAT1	1-acylglycerol-3-phosphate O-acyltransferase 1
AGPAT2	1-acylglycerol-3-phosphate O-acyltransferase 2
AGPAT3	1-acylglycerol-3-phosphate O-acyltransferase 3
AGPAT4	1-acylglycerol-3-phosphate O-acyltransferase 4
AGPAT4-IT1	AGPAT4 intronic transcript 1
AGPAT5	1-acylglycerol-3-phosphate O-acyltransferase 5
AGPS	alkylglycerone phosphate synthase
AGR2	anterior gradient 2, protein disulphide isomerase family member
AGR3	anterior gradient 3, protein disulphide isomerase family member
AGRN	agrin
AGRP	agouti related neuropeptide
AGT	angiotensinogen
AGTPBP1	ATP/GTP binding carboxypeptidase 1
AGTR1	angiotensin II receptor type 1
AGTR2	angiotensin II receptor type 2
AGTRAP	angiotensin II receptor associated protein
AGXT	alanine--glyoxylate and serine--pyruvate aminotransferase
AGXT2	alanine--glyoxylate aminotransferase 2
AHCTF1	AT-hook containing transcription factor 1
AHCY	adenosylhomocysteinase
AHCYL1	adenosylhomocysteinase like 1
AHCYL2	adenosylhomocysteinase like 2
AHDC1	AT-hook DNA binding motif containing 1
AHI1	Abelson helper integration site 1
AHI1-DT	AHI1 divergent transcript
AHNAK	AHNAK nucleoprotein
AHNAK2	AHNAK nucleoprotein 2
AHR	aryl hydrocarbon receptor
AHRR	aryl-hydrocarbon receptor repressor
AHSA1	activator of HSP90 ATPase activity 1
AHSG	alpha 2-HS glycoprotein
AHSP	alpha hemoglobin stabilizing protein
AICDA	activation induced cytidine deaminase
AIDA	axin interactor, dorsalization associated
AIF1	allograft inflammatory factor 1
AIF1L	allograft inflammatory factor 1 like
AIFM1	apoptosis inducing factor mitochondria associated 1
AIFM2	apoptosis inducing factor mitochondria associated 2
AIFM3	apoptosis inducing factor mitochondria associated 3
AIG1	androgen induced 1
AIM2	absent in melanoma 2
AIMP1	aminoacyl tRNA synthetase complex interacting multifunctional protein 1
AIMP2	aminoacyl tRNA synthetase complex interacting multifunctional protein 2
AIP	aryl hydrocarbon receptor interacting protein
AIPL1	aryl hydrocarbon receptor interacting protein like 1
AIRE	autoimmune regulator
AIRN	antisense of IGF2R non-protein coding RNA
AJAP1	adherens junctions associated protein 1
AJM1	apical junction component 1 homolog
AJUBA	ajuba LIM protein
AJUBA-DT	AJUBA divergent transcript
AK1	adenylate kinase 1
AK2	adenylate kinase 2
AK3	adenylate kinase 3
AK4	adenylate kinase 4
AK5	adenylate kinase 5
AK6	adenylate kinase 6
AK7	adenylate kinase 7
AK8	adenylate kinase 8
AK9	adenylate kinase 9
AKAIN1	A-kinase anchor inhibitor 1
AKAP1	A-kinase anchoring protein 1
AKAP1-DT	AKAP1 divergent transcript
AKAP3	A-kinase anchoring protein 3
AKAP4	A-kinase anchoring protein 4
AKAP5	A-kinase anchoring protein 5
AKAP6	A-kinase anchoring protein 6
AKAP7	A-kinase anchoring protein 7
AKAP8	A-kinase anchoring protein 8
AKAP8L	A-kinase anchoring protein 8 like
AKAP9	A-kinase anchoring protein 9
AKAP10	A-kinase anchoring protein 10
AKAP11	A-kinase anchoring protein 11
AKAP11-IT1	AKPA11 intronic transcript 1 (non-protein coding)
AKAP12	A-kinase anchoring protein 12
AKAP13	A-kinase anchoring protein 13
AKAP14	A-kinase anchoring protein 14
AKAP17A	A-kinase anchoring protein 17A
AKIP1	A-kinase interacting protein 1
AKIRIN1	akirin 1
AKIRIN2	akirin 2
AKIRIN2-AS1	AKIRIN2 antisense RNA 1
AKNA	AT-hook transcription factor
AKNAD1	AKNA domain containing 1
AKR1A1	aldo-keto reductase family 1 member A1
AKR1B1	aldo-keto reductase family 1 member B
AKR1B10	aldo-keto reductase family 1 member B10
AKR1B15	aldo-keto reductase family 1 member B15
AKR1C1	aldo-keto reductase family 1 member C1
AKR1C2	aldo-keto reductase family 1 member C2
AKR1C3	aldo-keto reductase family 1 member C3
AKR1C4	aldo-keto reductase family 1 member C4
AKR1C8	aldo-keto reductase family 1 member C8
AKR1D1	aldo-keto reductase family 1 member D1
AKR1E2	aldo-keto reductase family 1 member E2
AKR7A2	aldo-keto reductase family 7 member A2
AKR7A3	aldo-keto reductase family 7 member A3
AKR7L	aldo-keto reductase family 7 like (gene/pseudogene)
AKT1	AKT serine/threonine kinase 1
AKT1S1	AKT1 substrate 1
AKT2	AKT serine/threonine kinase 2
AKT3	AKT serine/threonine kinase 3
AKT3-IT1	AKT3 intronic transcript 1
AKTIP	AKT interacting protein
ALAD	aminolevulinate dehydratase
ALAS1	5'-aminolevulinate synthase 1
ALAS2	5'-aminolevulinate synthase 2
ALB	albumin
ALCAM	activated leukocyte cell adhesion molecule
ALDH1A1	aldehyde dehydrogenase 1 family member A1
ALDH1A2	aldehyde dehydrogenase 1 family member A2
ALDH1A2-AS1	ALDH1A2 antisense RNA 1
ALDH1A3	aldehyde dehydrogenase 1 family member A3
ALDH1A3-AS1	ALDH1A3 antisense RNA 1
ALDH1B1	aldehyde dehydrogenase 1 family member B1
ALDH1L1	aldehyde dehydrogenase 1 family member L1
ALDH1L1-AS1	ALDH1L1 antisense RNA 1
ALDH1L1-AS2	ALDH1L1 antisense RNA 2
ALDH1L2	aldehyde dehydrogenase 1 family member L2
ALDH2	aldehyde dehydrogenase 2 family member
ALDH3A1	aldehyde dehydrogenase 3 family member A1
ALDH3A2	aldehyde dehydrogenase 3 family member A2
ALDH3B1	aldehyde dehydrogenase 3 family member B1
ALDH3B2	aldehyde dehydrogenase 3 family member B2
ALDH4A1	aldehyde dehydrogenase 4 family member A1
ALDH5A1	aldehyde dehydrogenase 5 family member A1
ALDH6A1	aldehyde dehydrogenase 6 family member A1
